tool,formula,variables,formula_id,output,time
all,(G(!p2|Fp3)&(p2|G(!p0|G!p1))&G(p1|!p3)&((p0&Fp1)|F(p0&Xp2))),#r#s#p#q,26,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((p) || ([](((!r) || ([](!s))))))) && (((((r) && (<>(s)))) || (<>(((r) && (X(p)))))))),#r#s#p#q,26,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((p) | (G(((!r) | (G(!s))))))) & (((((r) & (F(s)))) | (F(((r) & (X(p)))))))),#r#s#p#q,26,SAT,0.03
all,(X((p0&Fp1)|F(p0&Xp2))&G(!p2|Fp3)&(p2|G(!p0|G!p1))&G(p1|!p3)),#r#s#p#q,28,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((p) || ([](((!r) || ([](!s))))))) && (X(((((r) && (<>(s)))) || (<>(((r) && (X(p))))))))),#r#s#p#q,28,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((p) | (G(((!r) | (G(!s))))))) & (X(((((r) & (F(s)))) | (F(((r) & (X(p))))))))),#r#s#p#q,28,SAT,0.03
all,((X(p2&G!p3)U((p2&G!p1)|F(p0&Fp1)))&G(!p2|Fp3)&(p2|G(!p0|G!p1))&G(p1|!p3)),#r#s#p#q,29,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((p) || ([](((!r) || ([](!s))))))) && (((X(((p) && ([](!q))))) U (((((p) && ([](!s)))) || (<>(((r) && (<>(s)))))))))),#r#s#p#q,29,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((p) | (G(((!r) | (G(!s))))))) & (((X(((p) & (G(!q))))) U (((((p) & (G(!s)))) | (F(((r) & (F(s)))))))))),#r#s#p#q,29,SAT,0.03
all,(G(!p2|Fp3)&X((p2&G!p1)|(GFp1&Gp0))&(p2|G(!p0|G!p1))&G(p1|!p3)),#r#s#p#q,30,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((p) || ([](((!r) || ([](!s))))))) && (X(((((p) && ([](!s)))) || ((([](r)) && ([](<>(s))))))))),#r#s#p#q,30,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((p) | (G(((!r) | (G(!s))))))) & (X(((((p) & (G(!s)))) | (((G(r)) & (G(F(s))))))))),#r#s#p#q,30,SAT,0.04
all,(G(!p2|Fp3)&(p2|G(!p0|G!p1))&(F(p0&p2)|(p0&FGp1&Fp1))&G(p1|!p3)),#r#s#p#q,32,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((p) || ([](((!r) || ([](!s))))))) && (((<>(((r) && (p)))) || (((r) && (<>(s)) && (<>([](s)))))))),#r#s#p#q,32,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((p) | (G(((!r) | (G(!s))))))) & (((F(((r) & (p)))) | (((r) & (F(s)) & (F(G(s)))))))),#r#s#p#q,32,SAT,0.03
all,(G(!p2|Fp3)&(p2|G(!p0|G!p1))&(F(p0&p2)|(p0&F!p1&Fp1))&G(p1|!p3)),#r#s#p#q,34,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && (((((r) && (<>(s)) && (<>(!s)))) || (<>(((r) && (p)))))) && ([](((!p) || (<>(q))))) && (((p) || ([](((!r) || ([](!s)))))))),#r#s#p#q,34,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (((((r) & (F(s)) & (F(!s)))) | (F(((r) & (p)))))) & (G(((!p) | (F(q))))) & (((p) | (G(((!r) | (G(!s)))))))),#r#s#p#q,34,SAT,0.03
all,((F(p0&p1)|F(p0&p2))&G(!p2|Fp3)&(p2|G(!p0|G!p1))&G(p1|!p3)),#r#s#p#q,36,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && (((<>(((r) && (s)))) || (<>(((r) && (p)))))) && ([](((!p) || (<>(q))))) && (((p) || ([](((!r) || ([](!s)))))))),#r#s#p#q,36,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (((F(((r) & (s)))) | (F(((r) & (p)))))) & (G(((!p) | (F(q))))) & (((p) | (G(((!r) | (G(!s)))))))),#r#s#p#q,36,SAT,0.03
all,((F(p0&Fp3)|F(p2&G!p3))&G(!p2|Fp3)&(p2|G(!p0|G!p1))&G(p1|!p3)),#r#s#p#q,37,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((p) || ([](((!r) || ([](!s))))))) && (((<>(((r) && (<>(q))))) || (<>(((p) && ([](!q)))))))),#r#s#p#q,37,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((p) | (G(((!r) | (G(!s))))))) & (((F(((r) & (F(q))))) | (F(((p) & (G(!q)))))))),#r#s#p#q,37,SAT,0.03
all,(G(!p2|Fp3)&(p2|G(!p0|G!p1))&G(p1|!p3)&(X(p2&G!p3)|F(p0&Fp1))),#r#s#p#q,38,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((p) || ([](((!r) || ([](!s))))))) && (((<>(((r) && (<>(s))))) || (X(((p) && ([](!q)))))))),#r#s#p#q,38,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((p) | (G(((!r) | (G(!s))))))) & (((F(((r) & (F(s))))) | (X(((p) & (G(!q)))))))),#r#s#p#q,38,SAT,0.03
all,((p2|G(!p0|G!p1))&G(!p2|Fp3)&(F(p0&Fp1)|(p2&G!p3))&G(p1|!p3)),#r#s#p#q,39,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((p) || ([](((!r) || ([](!s))))))) && (((((p) && ([](!q)))) || (<>(((r) && (<>(s)))))))),#r#s#p#q,39,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((p) | (G(((!r) | (G(!s))))))) & (((((p) & (G(!q)))) | (F(((r) & (F(s)))))))),#r#s#p#q,39,SAT,0.03
all,((p2|G(!p0|G!p1))&G(!p2|Fp3)&((p0&Fp1)|F(p2&G!p3))&G(p1|!p3)),#r#s#p#q,40,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && (((p) || ([](((!r) || ([](!s))))))) && (((((r) && (<>(s)))) || (<>(((p) && ([](!q)))))))),#r#s#p#q,40,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (((p) | (G(((!r) | (G(!s))))))) & (((((r) & (F(s)))) | (F(((p) & (G(!q)))))))),#r#s#p#q,40,SAT,0.03
all,(G(!p2|Fp3)&G(p1|!p3)&G(p2|G!p1)&((p0&Fp1)|F(p0&Xp2))),#r#s#p#q,45,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && (((((r) && (<>(s)))) || (<>(((r) && (X(p)))))))),#r#s#p#q,45,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (((((r) & (F(s)))) | (F(((r) & (X(p)))))))),#r#s#p#q,45,SAT,0.03
all,(X((p0&Fp1)|F(p0&Xp2))&G(!p2|Fp3)&G(p1|!p3)&G(p2|G!p1)),#r#s#p#q,47,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((p) || ([](!s))))) && ([](((!p) || (<>(q))))) && (X(((((r) && (<>(s)))) || (<>(((r) && (X(p))))))))),#r#s#p#q,47,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((p) | (G(!s))))) & (G(((!p) | (F(q))))) & (X(((((r) & (F(s)))) | (F(((r) & (X(p))))))))),#r#s#p#q,47,SAT,0.03
all,(G(!p2|Fp3)&(X(p2&G!p3)U((p2&G!p1)|F(p0&Fp1)))&G(p1|!p3)&G(p2|G!p1)),#r#s#p#q,48,DIFF-SAT-UNSAT,no-time
