tool,formula,variables,formula_id,output,time
all,G(p3|!p1),#p#q#r#s,0,SAT,no-time
SPIN_v651,[](((!q) || (s))),#p#q#r#s,0,SAT,-1.0
NUSMV_v260,G(((!q) | (s))),#p#q#r#s,0,SAT,0.02
all,(G(Fp1|!p0)&G(G!p3|!p2)),#p#q#r#s,1,SAT,no-time
SPIN_v651,(([](((!p) || (<>(q))))) && ([](((!r) || ([](!s)))))),#p#q#r#s,1,SAT,0.02
NUSMV_v260,((G(((!p) | (F(q))))) & (G(((!r) | (G(!s)))))),#p#q#r#s,1,SAT,0.03
all,(G(G!p3|!p2)&G(Fp1|!p0)&G(p3|!p1)),#p#q#r#s,2,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ([](!s)))))),#p#q#r#s,2,SAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (G(((!r) | (G(!s)))))),#p#q#r#s,2,SAT,0.03
all,G(p3|!p1),#p#q#r#s,3,SAT,no-time
SPIN_v651,[](((!q) || (s))),#p#q#r#s,3,SAT,0.03
NUSMV_v260,G(((!q) | (s))),#p#q#r#s,3,SAT,0.02
all,(G(G!p3|!p2)&G(p3|!p0|Fp1)),#p#q#r#s,4,SAT,no-time
SPIN_v651,(([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q)))))),#p#q#r#s,4,SAT,0.02
NUSMV_v260,((G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q)))))),#p#q#r#s,4,SAT,0.02
all,(G(G!p3|!p2)&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,5,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q)))))),#p#q#r#s,5,SAT,0.02
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q)))))),#p#q#r#s,5,SAT,0.03
all,(G(G!p3|!p2)&G(p3|!p1)&(((p2&Gp3)WF(G!p1&p0))WF(p2&Fp0))&G(p3|!p0|Fp1)),#p#q#r#s,6,DIFF,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((<>(((r) && (<>(p))))) || ([]((((([](r)) && ([](s)))) || (<>(((p) && ([](!q))))))))))),#p#q#r#s,6,TIMEOUT,300.0
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((F(((r) & (F(p))))) | (G(((((G(r)) & (G(s)))) | (F(((p) & (G(!q))))))))))),#p#q#r#s,6,SAT,0.03
all,((((p2&Gp3)WF(G!p1&p0))|X(!p2&F(p2&Fp1)))&G(G!p3|!p2)&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,7,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && ((((([](r)) && ([](s)))) || (<>(((p) && ([](!q))))) || (X(((!r) && (<>(((r) && (<>(q))))))))))),#p#q#r#s,7,SAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((((G(r)) & (G(s)))) | (F(((p) & (G(!q))))) | (X(((!r) & (F(((r) & (F(q))))))))))),#p#q#r#s,7,SAT,0.03
all,(G(G!p3|!p2)&G(p3|!p1)&((p3&p2)|(p2&Fp0))&G(p3|!p0|Fp1)),#p#q#r#s,8,UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && (((((r) && (s))) || (((r) && (<>(p)))))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q)))))),#p#q#r#s,8,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (((((r) & (s))) | (((r) & (F(p)))))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q)))))),#p#q#r#s,8,UNSAT,0.03
all,(G(G!p3|!p2)&G(p3|!p1)&((Fp3&p2)WF(p2&p0))&G(p3|!p0|Fp1)),#p#q#r#s,9,UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((<>(((p) && (r)))) || ((([](r)) && ([](<>(s)))))))),#p#q#r#s,9,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((F(((p) & (r)))) | (((G(r)) & (G(F(s)))))))),#p#q#r#s,9,UNSAT,0.03
all,(G(G!p3|!p2)&G(p3|!p1)&((p2&p0)|(Xp3&p2))&G(p3|!p0|Fp1)),#p#q#r#s,10,UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && (((((p) && (r))) || (((r) && (X(s)))))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q)))))),#p#q#r#s,10,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (((((p) & (r))) | (((r) & (X(s)))))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q)))))),#p#q#r#s,10,UNSAT,0.03
all,(G(G!p3|!p2)&((Fp3&p2)W(Xp0&p2))&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,11,UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && ((((([](r)) && ([](<>(s))))) || (((((r) && (<>(s)))) U (((r) && (X(p))))))))),#p#q#r#s,11,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((((G(r)) & (G(F(s))))) | (((((r) & (F(s)))) U (((r) & (X(p))))))))),#p#q#r#s,11,UNSAT,0.03
all,(G(G!p3|!p2)&((F(G!p1&p0)U(G!p1&p0))|(GF(p0&Fp1)&p2))&G(p3|!p1)&G(p3|!p0|Fp1)),#p#q#r#s,12,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((((<>(((p) && ([](!q))))) U (((p) && ([](!q)))))) || (((r) && ([](<>(((p) && (<>(q))))))))))),#p#q#r#s,12,SAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((((F(((p) & (G(!q))))) U (((p) & (G(!q)))))) | (((r) & (G(F(((p) & (F(q))))))))))),#p#q#r#s,12,SAT,0.03
all,(G(G!p3|!p2)&G(p3|!p1)&((GFp0&p2)WF(Fp3&p2))&G(p3|!p0|Fp1)),#p#q#r#s,13,UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && ((((([](r)) && ([](<>(p))))) || (<>(((r) && (<>(s)))))))),#p#q#r#s,13,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((((G(r)) & (G(F(p))))) | (F(((r) & (F(s)))))))),#p#q#r#s,13,UNSAT,0.03
all,(G(p3|!p0|Fp1)&G(p3|!p1)&p2&(Fp0|Fp1)&G(G!p3|!p2)),#p#q#r#s,14,UNSAT,no-time
SPIN_v651,((r) && (((<>(p)) || (<>(q)))) && ([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q)))))),#p#q#r#s,14,UNSAT,0.03
NUSMV_v260,((r) & (((F(p)) | (F(q)))) & (G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q)))))),#p#q#r#s,14,UNSAT,0.03
all,(G(G!p3|!p2)&G(p3|!p1)&(X(Fp3&p2)|F(G!p1&p0))&G(p3|!p0|Fp1)),#p#q#r#s,15,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!r) || ([](!s))))) && ([](((!p) || (s) || (<>(q))))) && (((<>(((p) && ([](!q))))) || (X(((r) && (<>(s)))))))),#p#q#r#s,15,SAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!r) | (G(!s))))) & (G(((!p) | (s) | (F(q))))) & (((F(((p) & (G(!q))))) | (X(((r) & (F(s)))))))),#p#q#r#s,15,SAT,0.03
all,(G(G!p3|!p2)&G(p3|!p1)&(F(G!p1&p0)|(Fp3&p2))&G(p3|!p0|Fp1)),#p#q#r#s,16,SAT,no-time
